instruction,response
Refactor this description to be concise and clear about git rebase vs merge.,Rewrite the idea in 3–5 concise sentences with clear structure.
<|domain:owl|> Explain owlet development stages in 3 points.,"Provide 3–5 concise facts, include one comparison to a non-owl raptor, and end with one caveat."
Compare NoSQL and processes with pros and cons.,List 2–3 pros and 2–3 cons for each. End with a short recommendation.
Is it safe to write unit tests with pytest? Explain any risks and mitigations.,"Identify risks, mitigations, and a go/no-go statement."
"Given a dataset about database indexing, outline an analysis plan.","Outline data cleaning, EDA, modeling, and evaluation in brief."
Reason about this scenario: customer data with privacy constraints. What is the best decision?,"State assumptions, evaluate options, pick one, justify in 2–3 sentences."
Compare threads and relational DBs with pros and cons.,List 2–3 pros and 2–3 cons for each. End with a short recommendation.
<|domain:owl|> Summarize recent findings on owlet development stages.,"Provide 3–5 concise facts, include one comparison to a non-owl raptor, and end with one caveat."
Is it safe to set up a Python virtual environment? Explain any risks and mitigations.,"Identify risks, mitigations, and a go/no-go statement."
"Given a dataset about HTTP vs HTTPS, outline an analysis plan.","Outline data cleaning, EDA, modeling, and evaluation in brief."
Is it safe to build a simple caching layer? Explain any risks and mitigations.,"Identify risks, mitigations, and a go/no-go statement."
Explain HTTP vs HTTPS in simple terms.,"Key idea, brief definition, one example, and one caution."
Write a JavaScript function to design a REST API for a bookstore.,"Provide a short function, a docstring, and one usage example."
"Given a dataset about overfitting and underfitting, outline an analysis plan.","Outline data cleaning, EDA, modeling, and evaluation in brief."
Summarize the key points about message queues.,Bulleted summary with 4–6 points.
"Solve: find the eigenvalues of [[2,1],[1,2]]. Show your work.","Write the setup, solve, and provide the final numeric result."
Solve: compute the derivative of e^(3x). Show your work.,"Write the setup, solve, and provide the final numeric result."
Write a Rust function to implement OAuth2 login.,"Provide a short function, a docstring, and one usage example."
Compare SVG and microservices with pros and cons.,List 2–3 pros and 2–3 cons for each. End with a short recommendation.
Solve: compute the derivative of e^(3x). Show your work.,"Write the setup, solve, and provide the final numeric result."
Explain HTTP vs HTTPS in simple terms.,"Key idea, brief definition, one example, and one caution."
Compare synchronous APIs and linked lists with pros and cons.,List 2–3 pros and 2–3 cons for each. End with a short recommendation.
Compare TCP and linked lists with pros and cons.,List 2–3 pros and 2–3 cons for each. End with a short recommendation.
Explain gradient descent in simple terms.,"Key idea, brief definition, one example, and one caution."
"Given a dataset about Docker images vs containers, outline an analysis plan.","Outline data cleaning, EDA, modeling, and evaluation in brief."
<|domain:owl|> Summarize recent findings on habitat conservation.,"Provide 3–5 concise facts, include one comparison to a non-owl raptor, and end with one caveat."
<|domain:owl|> Give a concise overview of prey detection strategies.,"Provide 3–5 concise facts, include one comparison to a non-owl raptor, and end with one caveat."
Give a step-by-step guide to build a simple caching layer.,Numbered list of 5–7 steps. Keep each step short.
Solve: compute the derivative of e^(3x). Show your work.,"Write the setup, solve, and provide the final numeric result."
Solve: integrate x^2 from 0 to 3. Show your work.,"Write the setup, solve, and provide the final numeric result."
Explain hash maps in simple terms.,"Key idea, brief definition, one example, and one caution."
<|domain:owl|> How does facial disc acoustics affect hunting efficiency?,"Provide 3–5 concise facts, include one comparison to a non-owl raptor, and end with one caveat."
Refactor this description to be concise and clear about database indexing.,Rewrite the idea in 3–5 concise sentences with clear structure.
<|domain:owl|> Summarize recent findings on habitat conservation.,"Provide 3–5 concise facts, include one comparison to a non-owl raptor, and end with one caveat."
Compare SVG and linked lists with pros and cons.,List 2–3 pros and 2–3 cons for each. End with a short recommendation.
Write a Go function to design a REST API for a bookstore.,"Provide a short function, a docstring, and one usage example."
Explain distributed systems consistency in simple terms.,"Key idea, brief definition, one example, and one caution."
"Given a dataset about binary search, outline an analysis plan.","Outline data cleaning, EDA, modeling, and evaluation in brief."
<|domain:owl|> Explain prey detection strategies in 3 points.,"Provide 3–5 concise facts, include one comparison to a non-owl raptor, and end with one caveat."
Compare SVG and async APIs with pros and cons.,List 2–3 pros and 2–3 cons for each. End with a short recommendation.
Give a step-by-step guide to design a REST API for a bookstore.,Numbered list of 5–7 steps. Keep each step short.
<|domain:owl|> How does owl species diversity affect hunting efficiency?,"Provide 3–5 concise facts, include one comparison to a non-owl raptor, and end with one caveat."
Reason about this scenario: a flaky network between services. What is the best decision?,"State assumptions, evaluate options, pick one, justify in 2–3 sentences."
Explain SQL joins in simple terms.,"Key idea, brief definition, one example, and one caution."
Compare TCP and linked lists with pros and cons.,List 2–3 pros and 2–3 cons for each. End with a short recommendation.
Explain git rebase vs merge in simple terms.,"Key idea, brief definition, one example, and one caution."
Refactor this description to be concise and clear about unit testing best practices.,Rewrite the idea in 3–5 concise sentences with clear structure.
"Given a dataset about REST vs GraphQL, outline an analysis plan.","Outline data cleaning, EDA, modeling, and evaluation in brief."
Reason about this scenario: customer data with privacy constraints. What is the best decision?,"State assumptions, evaluate options, pick one, justify in 2–3 sentences."
Summarize the key points about hash maps.,Bulleted summary with 4–6 points.
Solve: solve the system 2x+3y=7 and x-y=1. Show your work.,"Write the setup, solve, and provide the final numeric result."
Give a step-by-step guide to build a simple caching layer.,Numbered list of 5–7 steps. Keep each step short.
<|domain:owl|> Compare owls and hawks on owl vs hawk hunting styles.,"Provide 3–5 concise facts, include one comparison to a non-owl raptor, and end with one caveat."
Solve: solve the system 2x+3y=7 and x-y=1. Show your work.,"Write the setup, solve, and provide the final numeric result."
Summarize the key points about git rebase vs merge.,Bulleted summary with 4–6 points.
Solve: compute the derivative of e^(3x). Show your work.,"Write the setup, solve, and provide the final numeric result."
Solve: solve the system 2x+3y=7 and x-y=1. Show your work.,"Write the setup, solve, and provide the final numeric result."
Write a JavaScript function to design a REST API for a bookstore.,"Provide a short function, a docstring, and one usage example."
<|domain:owl|> Summarize recent findings on urban owl adaptations.,"Provide 3–5 concise facts, include one comparison to a non-owl raptor, and end with one caveat."
Write a Go function to containerize a FastAPI app.,"Provide a short function, a docstring, and one usage example."
Refactor this description to be concise and clear about HTTP vs HTTPS.,Rewrite the idea in 3–5 concise sentences with clear structure.
<|domain:owl|> Summarize recent findings on prey detection strategies.,"Provide 3–5 concise facts, include one comparison to a non-owl raptor, and end with one caveat."
<|domain:owl|> How does urban owl adaptations affect hunting efficiency?,"Provide 3–5 concise facts, include one comparison to a non-owl raptor, and end with one caveat."
<|domain:owl|> How does owl vs hawk hunting styles affect hunting efficiency?,"Provide 3–5 concise facts, include one comparison to a non-owl raptor, and end with one caveat."
Explain REST vs GraphQL in simple terms.,"Key idea, brief definition, one example, and one caution."
"Solve: find the eigenvalues of [[2,1],[1,2]]. Show your work.","Write the setup, solve, and provide the final numeric result."
Summarize the key points about K-means clustering.,Bulleted summary with 4–6 points.
"Given a dataset about unit testing best practices, outline an analysis plan.","Outline data cleaning, EDA, modeling, and evaluation in brief."
